Dataset,Method,Train,Train Std,Sig Tr,Test,Test Std,Sig Te,is_baseline,Baseline,config,config_std,Runtime,Runtime_std,summary,summary_std
cross-species,cnn,0.43084876543209877,0.10187837991602974,-,0.464753086419753,0.07741148068515818,-,False,opls-da,,,42.461055316999996,2.024718433382337,,
cross-species,dt,1.0,0.0,+,0.6895216049382715,0.03097921854705688,-,False,opls-da,,,28.2,0.7916228058025278,,
cross-species,ensemble,0.9469290123456789,0.03821566625794302,-,0.8618981481481484,0.019755069586018238,+,False,opls-da,,,78.43333333333334,6.253976512765476,,
cross-species,kan,0.7715740740740742,0.06991773899617643,-,0.7682716049382716,0.025769128290844247,-,False,opls-da,,,50.9,4.9217205663602375,,
cross-species,knn,0.801442901234568,0.012974350616128234,-,0.6803549382716049,0.024722593090727878,-,False,opls-da,,,29.8,1.7397317800933187,,
cross-species,lda,0.8476157407407406,0.010431941817980763,-,0.7825925925925927,0.022510222237172486,+,False,opls-da,,,41.833333333333336,1.3682917167849196,,
cross-species,lr,1.0,0.0,+,0.8343518518518518,0.023049915022254442,+,False,opls-da,,,28.866666666666667,0.7180219742846005,,
cross-species,lstm,0.3278780864197531,0.012389152335158051,-,0.3333333333333334,1.1102230246251565e-16,-,False,opls-da,,,53.96666666666667,1.9405039437103848,,
cross-species,moe,0.8926080246913579,0.056645081992848484,-,0.8279320987654321,0.026483298018216257,+,False,opls-da,,,71.76666666666667,5.0244955523470765,,
cross-species,nb,0.7879398148148147,0.02219410113070587,-,0.6128703703703703,0.030618948456347637,-,False,opls-da,,,28.8,1.1944315244779276,,
cross-species,opls-da,0.9846604938271606,0.013738373380417527, ,0.7752777777777777,0.02407603268385885, ,True,opls-da,,,42.63333333333333,2.0733762053445313,,
cross-species,rcnn,0.3696373456790123,0.04289221652820218,-,0.3449382716049384,0.01361034123407085,-,False,opls-da,,,44.5,0.8465616732800196,,
cross-species,rf,1.0,0.0,+,0.806574074074074,0.026357301866516407,+,False,opls-da,,,28.866666666666667,0.4988876515698589,,
cross-species,svm,0.9796836419753086,0.005576312603362424,≈,0.7519753086419753,0.021842804327724313,-,False,opls-da,,,28.1,0.6506407098647711,,
cross-species,transformer,0.9023688271604937,0.07070536540688617,-,0.8330092592592594,0.029936477768582655,+,False,opls-da,,,52.46666666666667,2.552558629210219,,
cross-species,xgb,1.0,0.0,+,0.7902777777777777,0.024297103174647592,+,False,opls-da,,,30.7,0.971253485622231,,
oil,cnn,0.19153439153439153,0.03847274010873782,-,0.24470899470899468,0.03094785839523344,-,False,opls-da,,,44.2,2.4138489320308896,,
oil,dt,1.0,0.0,+,0.23465608465608465,0.04474029147857511,-,False,opls-da,,,27.466666666666665,0.49888765156985887,,
oil,ensemble,0.717063492063492,0.12635903520569358,≈,0.394973544973545,0.020149284681830273,+,False,opls-da,,,69.03333333333333,3.978972508352153,,
oil,kan,0.31653439153439156,0.06125938287434712,-,0.35423280423280434,0.03425798244847542,+,False,opls-da,,,45.43333333333333,1.4302291968616625,,
oil,knn,0.5079365079365079,0.019946809255179162,-,0.2801587301587301,0.0239983692511674,≈,False,opls-da,,,27.866666666666667,0.5617433182117572,,
oil,lda,0.6366402116402116,0.015862540635196633,-,0.29232804232804227,0.027575479025319337,≈,False,opls-da,,,38.06666666666667,0.7272474743090476,,
oil,lr,1.0,0.0,+,0.35714285714285726,0.033169159827846524,+,False,opls-da,,,52.333333333333336,1.3984117975602022,,
oil,lstm,0.13941798941798939,0.013812462944133977,-,0.14365079365079356,0.002380952380952406,-,False,opls-da,,,51.8,0.9797958971132713,,
oil,moe,0.6404761904761905,0.13593456549845487,-,0.36375661375661383,0.02551916082509352,+,False,opls-da,,,62.63333333333333,3.7725617585696627,,
oil,nb,0.7642857142857142,0.01589284475754027,+,0.278042328042328,0.03035879985333799,≈,False,opls-da,,,27.466666666666665,0.49888765156985887,,
oil,opls-da,0.7501322751322751,0.03074621566960288, ,0.28941798941798935,0.03415055992191517, ,True,opls-da,,,38.53333333333333,0.8055363982396382,,
oil,rcnn,0.14920634920634915,0.018516628777351447,-,0.1452380952380952,0.0050818446328832305,-,False,opls-da,,,43.36666666666667,0.6046119049072349,,
oil,rf,1.0,0.0,+,0.3460317460317461,0.028438845820903048,+,False,opls-da,,,28.9,1.1357816691600546,,
oil,svm,0.9035714285714285,0.012428936320131638,+,0.30158730158730157,0.030532355653446575,≈,False,opls-da,,,28.366666666666667,1.1100550536897809,,
oil,transformer,0.6358465608465608,0.1161674673153937,-,0.36772486772486784,0.025208739152532484,+,False,opls-da,,,49.766666666666666,1.7451520150277897,,
oil,xgb,1.0,0.0,+,0.2973544973544974,0.03071974257565034,≈,False,opls-da,,,30.433333333333334,0.8034647195462633,,
part,cnn,0.35000000000000003,0.12453996981544783,-,0.3976190476190477,0.07067058133169443,-,False,opls-da,,,39.24076028493334,1.5003947898222703,,
part,dt,1.0,0.0,+,0.34761904761904766,0.0628739756201218,-,False,opls-da,,,29.9,1.1357816691600546,,
part,ensemble,0.6305555555555554,0.15556820891199677,-,0.6880952380952383,0.046147910349544866,+,False,opls-da,,,54.46666666666667,1.5216949614017772,,
part,kan,0.8198412698412699,0.13610821876699222,+,0.6253968253968254,0.08670793830950897,+,False,opls-da,,,43.22671219633333,1.509874003556021,,
part,knn,0.5178571428571428,0.030390193648485383,-,0.40079365079365087,0.05466980983903023,-,False,opls-da,,,27.149459565166673,2.3014027418792744,,
part,lda,0.6599206349206349,0.12541252162161104,≈,0.45317460317460323,0.10035525207379864,≈,False,opls-da,,,29.5624329141,5.685911549692576,,
part,lr,1.0,0.0,+,0.6150793650793651,0.035890219220936555,+,False,opls-da,,,49.9,1.398809017223819,,
part,lstm,0.13611111111111107,0.023546831268486973,-,0.14285714285714277,2.7755575615628914e-17,-,False,opls-da,,,44.96666666666667,0.6574360974438673,,
part,moe,0.45873015873015865,0.18877547615642548,-,0.6412698412698413,0.04211587035371938,+,False,opls-da,,,50.13333333333333,1.6478942792411033,,
part,nb,0.9984126984126984,0.00404684088380382,+,0.18412698412698406,0.04472699302731864,-,False,opls-da,,,29.933333333333334,1.1813363431112902,,
part,opls-da,0.6916666666666665,0.02137338572935755, ,0.45158730158730165,0.06253746672410129, ,True,opls-da,,,28.56567716376667,1.4281846671096676,,
part,rcnn,0.15317460317460307,0.033067724850793116,-,0.1587301587301587,0.01664775949476433,-,False,opls-da,,,41.3,0.5859465277082315,,
part,rf,1.0,0.0,+,0.5071428571428571,0.0645204415450878,+,False,opls-da,,,29.911093432100003,1.5513686906177573,,
part,svm,0.9527777777777777,0.019068275836085728,+,0.43333333333333335,0.050843229771577673,≈,False,opls-da,,,29.653943000899996,1.3611227017748893,,
part,transformer,0.47777777777777775,0.2136616426878242,-,0.6476190476190478,0.04450109767897204,+,False,opls-da,,,43.0,1.2382783747337807,,
part,xgb,1.0,0.0,+,0.38412698412698415,0.06291403550033783,-,False,opls-da,,,29.603986150066667,1.107162885289563,,
species,cnn,0.5789236111111112,0.08506817601095164,-,0.6837500000000001,0.10929117157934207,-,False,opls-da,,,46.80517779783334,2.703897375173203,,
species,dt,1.0,0.0,+,0.9871527777777778,0.014140942057867013,+,False,opls-da,,,28.0,2.32379000772445,,
species,ensemble,0.888923611111111,0.05587547858289254,-,0.9802083333333333,0.010848680368631977,+,False,opls-da,,,77.3,6.608832473793436,,
species,kan,0.8332291666666669,0.09960292621645024,-,0.9568055555555558,0.049866527096754584,≈,False,opls-da,,,44.2,1.4922019523732928,,
species,knn,0.9530555555555557,0.006162191819855299,-,0.9334722222222223,0.010019271553817427,-,False,opls-da,,,29.133333333333333,1.746106780494506,,
species,lda,0.9719444444444445,0.0046424013648217475,-,0.9629861111111114,0.009767009932660642,-,False,opls-da,,,37.733333333333334,0.813770374382247,,
species,lr,1.0,0.0,+,0.967986111111111,0.01210586182112201,≈,False,opls-da,,,30.9,0.7461009761866464,,
species,lstm,0.5019444444444444,0.014520532769619033,-,0.5025,0.013462912017836266,-,False,opls-da,,,50.77963414143333,2.698964087903533,,
species,moe,0.842013888888889,0.10369627587899598,-,0.9781944444444446,0.011356661720422052,+,False,opls-da,,,67.23333333333333,4.255845653007428,,
species,nb,0.9806597222222224,0.006775817254020109,≈,0.9299305555555555,0.023245639608375356,-,False,opls-da,,,27.533333333333335,1.0241527663824812,,
species,opls-da,0.9794444444444446,0.00413121492159328, ,0.966875,0.010309869193048842, ,True,opls-da,,,36.1,0.8306623862918076,,
species,rcnn,0.5039583333333334,0.027523664060828328,-,0.5042361111111111,0.010213056352616903,-,False,opls-da,,,41.82957770656667,2.649436546198766,,
species,rf,1.0,0.0,+,0.9722222222222222,0.014646029251626766,+,False,opls-da,,,27.066666666666666,0.5734883511361751,,
species,svm,1.0,0.0,+,0.9262500000000001,0.013248427579653891,-,False,opls-da,,,26.766666666666666,0.6155395104206461,,
species,transformer,0.8488194444444442,0.10423356648015472,-,0.9750694444444444,0.01160553594222058,+,False,opls-da,,,59.63333333333333,5.437421774660814,,
species,xgb,1.0,0.0,+,0.9854166666666669,0.006364688465216471,+,False,opls-da,,,27.666666666666668,0.906764700582363,,
